0000001,2021-06-10,0102264812,0100100590,Mua sợi cotton nguyên liệu,8299000000,829900000,mua_vao,0,1
0000001,2021-07-10,0101380936,0100100590,Mua sợi polyester tổng hợp,17521000000,1752100000,mua_vao,0,2
0000001,2021-09-10,0100105503,0100100590,Mua bao bì đóng gói sản phẩm,15610000000,1561000000,mua_vao,0,3
0000001,2021-01-15,0102625829,0100100590,Mua phụ tùng máy dệt thay thế,34541000000,3454100000,mua_vao,0,4
0000001,2021-02-15,0101435247,0100100590,Mua hóa chất nhuộm và xử lý vải,32336000000,3233600000,mua_vao,0,5
0000001,2021-03-15,0103240765,0100100590,Mua sợi cotton nguyên liệu,40284000000,4028400000,mua_vao,0,6
0000001,2021-05-15,0102331787,0100100590,"Mua phụ liệu may (chỉ, khóa, cúc)",10584000000,1058400000,mua_vao,0,7
0000001,2021-05-15,0102311149,0100100590,Dịch vụ xử lý nước thải công nghiệp,22939000000,2293900000,mua_vao,0,8
0000001,2021-08-15,0100680623,0100100590,Dịch vụ gia công nhuộm vải,8476000000,847600000,mua_vao,0,9
0000001,2021-10-15,0101225306,0100100590,Mua hóa chất vệ sinh công nghiệp,26017000000,2601700000,mua_vao,0,11
0000001,2021-11-15,0102712091,0100100590,Mua sợi cotton nguyên liệu,8356000000,835600000,mua_vao,0,12
0000001,2021-11-15,0103711478,0100100590,Chi phí vận chuyển hàng hóa nội địa,14711000000,1471100000,mua_vao,0,13
0000001,2021-12-15,0100113494,0100100590,"Mua nhãn mác, tem sản phẩm",31347000000,3134700000,mua_vao,0,14
0000002,2021-12-15,0103240765,0100100590,Dịch vụ gia công nhuộm vải,27477000000,2747700000,mua_vao,0,15
0000002,2021-12-15,0101435247,0100100590,Mua vải dệt kim,15508000000,1550800000,mua_vao,0,16
0000001,2021-01-20,0101056111,0100100590,Mua bao bì đóng gói sản phẩm,29111000000,2911100000,mua_vao,0,17
0000003,2021-02-20,0101435247,0100100590,Mua sợi polyester tổng hợp,37232000000,3723200000,mua_vao,0,18
0000001,2021-03-20,0101601092,0100100590,Mua hóa chất nhuộm và xử lý vải,7617000000,761700000,mua_vao,0,19
0000001,2021-04-20,0103769372,0100100590,Mua hóa chất vệ sinh công nghiệp,19927000000,1992700000,mua_vao,0,22
0000002,2021-10-20,0101056111,0100100590,Dịch vụ gia công nhuộm vải,42683000000,4268300000,mua_vao,0,24
0000001,2021-12-20,0101454070,0100100590,Mua hóa chất vệ sinh công nghiệp,10944000000,1094400000,mua_vao,0,27
0000002,2021-02-25,0102331787,0100100590,Mua bao bì đóng gói sản phẩm,37147000000,3714700000,mua_vao,0,30
0000001,2021-09-25,0100373485,0100100590,Dịch vụ gia công nhuộm vải,27738000000,2773800000,mua_vao,0,35
0000002,2021-11-25,0103711478,0100100590,Mua sợi cotton nguyên liệu,37969000000,3796900000,mua_vao,0,36
0000001,2021-01-28,0101437981,0100100590,"Mua phụ liệu may (chỉ, khóa, cúc)",30190000000,3019000000,mua_vao,0,37
0000001,2021-02-28,0104141407,0100100590,Mua sợi cotton nguyên liệu,39160000000,3916000000,mua_vao,0,38
0000002,2021-03-28,0102311149,0100100590,Mua điện năng phục vụ sản xuất,28672000000,0,mua_vao,0,39
0000002,2021-03-28,0100105503,0100100590,Dịch vụ kiểm định chất lượng vải,33364000000,3336400000,mua_vao,0,40
0000001,2021-07-28,0101770848,0100100590,"Dịch vụ bảo trì, sửa chữa máy dệt",9067000000,906700000,mua_vao,0,41
0000001,2021-08-28,0100101403,0100100590,Mua vải dệt kim,15783000000,1578300000,mua_vao,0,42
0000001,2021-04-30,0101329672,0100100590,Dịch vụ kiểm định chất lượng vải,10320000000,1032000000,mua_vao,0,44
0000002,2021-05-31,0101770848,0100100590,Mua sợi cotton nguyên liệu,11102000000,1110200000,mua_vao,0,46
